Time;Channel;Count
2021-04-15 09:41:34.000386;Nederlands;1
2021-04-15 09:41:36.680905;Klassiek;1
2021-04-15 09:41:37.548284;radio nostalgia;1
2021-04-15 09:41:42.749522;sixty;1
2021-04-15 09:41:44.471486;radio nostalgia;1
2021-04-15 09:41:45.456535;Klassiek;1
2021-04-15 09:41:46.308753;Nederlands;1
2021-04-15 09:41:47.632924;Switch_on;1
2021-04-15 09:41:47.646315;Nederlands;1
2021-04-15 09:41:47.663933;Switch_on;1
2021-04-15 09:41:47.667033;Nederlands;1
2021-04-15 09:41:47.677427;Switch_on;1
2021-04-15 09:41:47.680270;Nederlands;1
2021-04-15 09:41:47.690667;Switch_on;1
2021-04-15 09:41:47.693542;Nederlands;1
2021-04-15 09:41:47.703966;Switch_on;1
2021-04-15 09:41:47.707231;Nederlands;1
2021-04-15 09:41:47.717645;Switch_on;1
2021-04-15 09:41:47.720513;Nederlands;1
2021-04-15 09:41:47.730901;Switch_on;1
2021-04-15 09:41:47.733679;Nederlands;1
2021-04-15 09:41:47.745579;Switch_on;1
2021-04-15 09:41:47.748643;Nederlands;1
2021-04-15 09:41:47.759188;Switch_on;1
2021-04-15 09:41:47.762434;Nederlands;1
2021-04-15 09:41:47.773043;Switch_on;1
2021-04-15 09:41:47.776160;Nederlands;1
2021-04-15 09:41:47.786704;Switch_on;1
2021-04-15 09:41:47.789793;Nederlands;1
2021-04-15 09:41:47.800553;Switch_on;1
2021-04-15 09:41:47.803411;Nederlands;1
2021-04-15 09:41:47.813916;Switch_on;1
2021-04-15 09:41:47.816415;Nederlands;1
2021-04-15 09:41:47.826994;Switch_on;1
2021-04-15 09:41:47.829497;Nederlands;1
2021-04-15 09:41:47.839825;Switch_on;1
2021-04-15 09:41:47.842105;Nederlands;1
2021-04-15 09:41:47.852428;Switch_on;1
2021-04-15 09:41:47.854666;Nederlands;1
2021-04-15 09:41:47.864968;Switch_on;1
2021-04-15 09:41:47.867190;Nederlands;1
2021-04-15 09:41:47.877490;Switch_on;1
2021-04-15 09:41:47.879708;Nederlands;1
2021-04-15 09:41:47.890096;Switch_on;1
2021-04-15 09:41:47.893856;Nederlands;1
2021-04-15 09:41:47.907094;Switch_on;1
2021-04-15 09:41:47.910421;Nederlands;1
2021-04-15 09:41:47.921080;Switch_on;1
2021-04-15 09:41:47.923623;Nederlands;1
2021-04-15 09:41:47.933958;Switch_on;1
2021-04-15 09:41:47.936428;Nederlands;1
2021-04-15 09:41:47.946754;Switch_on;1
2021-04-15 09:41:47.949242;Nederlands;1
2021-04-15 09:41:47.959570;Switch_on;1
2021-04-15 09:41:47.962071;Nederlands;1
2021-04-15 09:41:47.972417;Switch_on;1
2021-04-15 09:41:47.974890;Nederlands;1
2021-04-15 09:41:47.985215;Switch_on;1
2021-04-15 09:41:47.987694;Nederlands;1
2021-04-15 09:41:47.999116;Switch_on;1
2021-04-15 09:41:48.004265;Nederlands;1
2021-04-15 09:41:48.022287;Switch_on;1
2021-04-15 09:41:48.026703;Nederlands;1
2021-04-15 09:41:48.038159;Switch_on;1
2021-04-15 09:41:48.042854;Nederlands;1
2021-04-15 09:41:48.053582;Switch_on;1
2021-04-15 09:41:48.056695;Nederlands;1
2021-04-15 09:41:48.067562;Switch_on;1
2021-04-15 09:41:48.071462;Nederlands;1
2021-04-15 09:41:48.082988;Switch_on;1
2021-04-15 09:41:48.087561;Nederlands;1
2021-04-15 09:41:48.098335;Switch_on;1
2021-04-15 09:41:48.101642;Nederlands;1
2021-04-15 09:41:48.115047;Switch_on;1
2021-04-15 09:41:48.117259;Nederlands;1
2021-04-15 09:41:48.127654;Switch_on;1
2021-04-15 09:41:48.129507;Nederlands;1
2021-04-15 09:41:48.139778;Switch_on;1
2021-04-15 09:41:48.141428;Nederlands;1
2021-04-15 09:41:48.151686;Switch_on;1
2021-04-15 09:41:48.153311;Nederlands;1
2021-04-15 09:41:48.163546;Switch_on;1
2021-04-15 09:41:48.165155;Nederlands;1
2021-04-15 09:41:48.175392;Switch_on;1
2021-04-15 09:41:48.176999;Nederlands;1
2021-04-15 09:41:48.187231;Switch_on;1
2021-04-15 09:41:48.188841;Nederlands;1
2021-04-15 09:41:48.199076;Switch_on;1
