Time,channel,volume,state
15/04/2021 11:53,Nostalgia,,ONWAAR
15/04/2021 11:53,Klassiek,,ONWAAR
15/04/2021 11:53,Nederlands,,ONWAAR
15/04/2021 11:53,Volume,27,ONWAAR
15/04/2021 11:53,Volume,39,ONWAAR
15/04/2021 11:53,Volume,50,ONWAAR
15/04/2021 11:53,Volume,50,ONWAAR
15/04/2021 11:53,Klassiek,,ONWAAR
15/04/2021 11:53,Nostalgia,,ONWAAR
15/04/2021 11:53,Sixties,,ONWAAR
15/04/2021 11:53,Nostalgia,,WAAR
15/04/2021 11:53,Klassiek,,WAAR
15/04/2021 11:53,Nederlands,,WAAR
15/04/2021 11:53,Klassiek,,WAAR
15/04/2021 11:53,Nostalgia,,WAAR
15/04/2021 11:54,Sixties,,WAAR
15/04/2021 11:54,Volume,50,WAAR
15/04/2021 11:54,Volume,39,WAAR
15/04/2021 11:54,Volume,32,WAAR
15/04/2021 11:54,Volume,23,WAAR
15/04/2021 11:54,Volume,16,WAAR
15/04/2021 11:54,Volume,8,WAAR
15/04/2021 11:54,Volume,5,WAAR
15/04/2021 11:54,Device OFF,,ONWAAR
15/04/2021 11:54,Volume,5,
15/04/2021 11:55,Nostalgia,,WAAR
15/04/2021 11:55,Klassiek,,WAAR
15/04/2021 11:55,Nederlands,,WAAR
15/04/2021 11:55,Device OFF,,ONWAAR
15/04/2021 11:56,Volume,5,
15/04/2021 11:56,Device ON,,WAAR
15/04/2021 11:56,Nederlands,,WAAR
15/04/2021 11:56,Volume,5,WAAR
15/04/2021 11:56,Volume,14,WAAR
15/04/2021 11:56,Volume,15,WAAR
15/04/2021 11:56,Volume,17,WAAR
15/04/2021 11:56,Volume,17,WAAR
15/04/2021 11:56,Volume,18,WAAR
15/04/2021 11:56,Volume,20,WAAR
15/04/2021 11:56,Volume,20,WAAR
15/04/2021 11:56,Volume,21,WAAR
15/04/2021 11:56,Volume,23,WAAR
15/04/2021 11:56,Device OFF,,ONWAAR
15/04/2021 11:57,Klassiek,,ONWAAR
15/04/2021 11:57,Nostalgia,,ONWAAR
15/04/2021 11:57,Sixties,,ONWAAR
15/04/2021 11:57,Nostalgia,,ONWAAR
15/04/2021 11:57,Klassiek,,ONWAAR
15/04/2021 11:57,Nederlands,,ONWAAR
15/04/2021 11:57,Device ON,,WAAR
15/04/2021 11:57,Nederlands,,WAAR
15/04/2021 11:57,Volume,24,WAAR
15/04/2021 11:57,Volume,40,WAAR
15/04/2021 11:57,Volume,43,WAAR
15/04/2021 11:57,Volume,47,WAAR
15/04/2021 11:57,Volume,47,WAAR
15/04/2021 11:57,Volume,50,WAAR
15/04/2021 11:57,Volume,50,WAAR
15/04/2021 11:57,Volume,36,WAAR
